Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
Food away from home,10,2002,2003,Lower bound of prediction interval,0.9
Food away from home,10,2002,2003,Mid point of prediction interval,2.2
Food away from home,10,2002,2003,Upper bound of prediction interval,3.4
Food away from home,11,2002,2003,Lower bound of prediction interval,1
Food away from home,11,2002,2003,Mid point of prediction interval,2.2
Food away from home,11,2002,2003,Upper bound of prediction interval,3.3
Food away from home,12,2002,2003,Lower bound of prediction interval,1.2
Food away from home,12,2002,2003,Mid point of prediction interval,2.2
Food away from home,12,2002,2003,Upper bound of prediction interval,3.2
Food away from home,1,2003,2003,Lower bound of prediction interval,1.4
Food away from home,1,2003,2003,Mid point of prediction interval,2.3
Food away from home,1,2003,2003,Upper bound of prediction interval,3.1
Food away from home,2,2003,2003,Lower bound of prediction interval,0.8
Food away from home,2,2003,2003,Mid point of prediction interval,1.6
Food away from home,2,2003,2003,Upper bound of prediction interval,2.3
Food away from home,3,2003,2003,Lower bound of prediction interval,1.7
Food away from home,3,2003,2003,Mid point of prediction interval,2.3
Food away from home,3,2003,2003,Upper bound of prediction interval,2.9
Food away from home,4,2003,2003,Lower bound of prediction interval,1.7
Food away from home,4,2003,2003,Mid point of prediction interval,2.2
Food away from home,4,2003,2003,Upper bound of prediction interval,2.7
Food away from home,5,2003,2003,Lower bound of prediction interval,1.6
Food away from home,5,2003,2003,Mid point of prediction interval,2
Food away from home,5,2003,2003,Upper bound of prediction interval,2.4
Food away from home,6,2003,2003,Lower bound of prediction interval,1.7
Food away from home,6,2003,2003,Mid point of prediction interval,2.1
Food away from home,6,2003,2003,Upper bound of prediction interval,2.4
Food away from home,7,2003,2003,Lower bound of prediction interval,1.8
Food away from home,7,2003,2003,Mid point of prediction interval,2.1
Food away from home,7,2003,2003,Upper bound of prediction interval,2.4
Food away from home,8,2003,2003,Lower bound of prediction interval,1.9
Food away from home,8,2003,2003,Mid point of prediction interval,2.1
Food away from home,8,2003,2003,Upper bound of prediction interval,2.4
Food away from home,9,2003,2003,Lower bound of prediction interval,2
Food away from home,9,2003,2003,Mid point of prediction interval,2.1
Food away from home,9,2003,2003,Upper bound of prediction interval,2.3
Food away from home,10,2003,2003,Lower bound of prediction interval,2
Food away from home,10,2003,2003,Mid point of prediction interval,2.1
Food away from home,10,2003,2003,Upper bound of prediction interval,2.2
Food away from home,11,2003,2003,Lower bound of prediction interval,2
Food away from home,11,2003,2003,Mid point of prediction interval,2.1
Food away from home,11,2003,2003,Upper bound of prediction interval,2.2
Food away from home,12,2003,2003,Lower bound of prediction interval,2.1
Food away from home,12,2003,2003,Mid point of prediction interval,2.1
Food away from home,12,2003,2003,Upper bound of prediction interval,2.2
Food at home,7,2002,2003,Lower bound of prediction interval,-1.8
Food at home,7,2002,2003,Mid point of prediction interval,1.6
Food at home,7,2002,2003,Upper bound of prediction interval,5
Food at home,8,2002,2003,Lower bound of prediction interval,-1.7
Food at home,8,2002,2003,Mid point of prediction interval,1.5
Food at home,8,2002,2003,Upper bound of prediction interval,4.8
Food at home,9,2002,2003,Lower bound of prediction interval,-1.5
Food at home,9,2002,2003,Mid point of prediction interval,1.5
Food at home,9,2002,2003,Upper bound of prediction interval,4.5
Food at home,10,2002,2003,Lower bound of prediction interval,-1.5
Food at home,10,2002,2003,Mid point of prediction interval,1.4
Food at home,10,2002,2003,Upper bound of prediction interval,4.3
Food at home,11,2002,2003,Lower bound of prediction interval,-1.3
Food at home,11,2002,2003,Mid point of prediction interval,1.3
Food at home,11,2002,2003,Upper bound of prediction interval,4.1
Food at home,12,2002,2003,Lower bound of prediction interval,-1
Food at home,12,2002,2003,Mid point of prediction interval,1.4
Food at home,12,2002,2003,Upper bound of prediction interval,3.8
Food at home,1,2003,2003,Lower bound of prediction interval,-0.4
Food at home,1,2003,2003,Mid point of prediction interval,1.5
Food at home,1,2003,2003,Upper bound of prediction interval,3.5
Food at home,2,2003,2003,Lower bound of prediction interval,0
Food at home,2,2003,2003,Mid point of prediction interval,1.7
Food at home,2,2003,2003,Upper bound of prediction interval,3.4
Food at home,3,2003,2003,Lower bound of prediction interval,0.5
Food at home,3,2003,2003,Mid point of prediction interval,2
Food at home,3,2003,2003,Upper bound of prediction interval,3.5
Food at home,4,2003,2003,Lower bound of prediction interval,0.6
Food at home,4,2003,2003,Mid point of prediction interval,1.9
Food at home,4,2003,2003,Upper bound of prediction interval,3.2
Food at home,5,2003,2003,Lower bound of prediction interval,0.4
Food at home,5,2003,2003,Mid point of prediction interval,1.5
Food at home,5,2003,2003,Upper bound of prediction interval,2.7
Food at home,6,2003,2003,Lower bound of prediction interval,0.7
Food at home,6,2003,2003,Mid point of prediction interval,1.6
Food at home,6,2003,2003,Upper bound of prediction interval,2.6
Food at home,7,2003,2003,Lower bound of prediction interval,1.1
Food at home,7,2003,2003,Mid point of prediction interval,1.9
Food at home,7,2003,2003,Upper bound of prediction interval,2.6
Food at home,8,2003,2003,Lower bound of prediction interval,1.2
Food at home,8,2003,2003,Mid point of prediction interval,1.8
Food at home,8,2003,2003,Upper bound of prediction interval,2.4
Food at home,9,2003,2003,Lower bound of prediction interval,1.4
Food at home,9,2003,2003,Mid point of prediction interval,1.9
Food at home,9,2003,2003,Upper bound of prediction interval,2.3
Food at home,10,2003,2003,Lower bound of prediction interval,1.6
Food at home,10,2003,2003,Mid point of prediction interval,1.9
Food at home,10,2003,2003,Upper bound of prediction interval,2.2
Food at home,11,2003,2003,Lower bound of prediction interval,1.8
Food at home,11,2003,2003,Mid point of prediction interval,2
Food at home,11,2003,2003,Upper bound of prediction interval,2.3
Food at home,12,2003,2003,Lower bound of prediction interval,2
Food at home,12,2003,2003,Mid point of prediction interval,2.1
Food at home,12,2003,2003,Upper bound of prediction interval,2.2
"Meats, poultry, and fish",7,2002,2003,Lower bound of prediction interval,-3.1
"Meats, poultry, and fish",7,2002,2003,Mid point of prediction interval,1.4
"Meats, poultry, and fish",7,2002,2003,Upper bound of prediction interval,6.1
"Meats, poultry, and fish",8,2002,2003,Lower bound of prediction interval,-3.3
"Meats, poultry, and fish",8,2002,2003,Mid point of prediction interval,0.9
"Meats, poultry, and fish",8,2002,2003,Upper bound of prediction interval,5.4
"Meats, poultry, and fish",9,2002,2003,Lower bound of prediction interval,-2.6
"Meats, poultry, and fish",9,2002,2003,Mid point of prediction interval,1.3
"Meats, poultry, and fish",9,2002,2003,Upper bound of prediction interval,5.5
"Meats, poultry, and fish",10,2002,2003,Lower bound of prediction interval,-2.5
"Meats, poultry, and fish",10,2002,2003,Mid point of prediction interval,1.2
"Meats, poultry, and fish",10,2002,2003,Upper bound of prediction interval,5.1
"Meats, poultry, and fish",11,2002,2003,Lower bound of prediction interval,-2.7
"Meats, poultry, and fish",11,2002,2003,Mid point of prediction interval,0.7
"Meats, poultry, and fish",11,2002,2003,Upper bound of prediction interval,4.2
"Meats, poultry, and fish",12,2002,2003,Lower bound of prediction interval,-2.1
"Meats, poultry, and fish",12,2002,2003,Mid point of prediction interval,0.9
"Meats, poultry, and fish",12,2002,2003,Upper bound of prediction interval,4.1
"Meats, poultry, and fish",1,2003,2003,Lower bound of prediction interval,-3.2
"Meats, poultry, and fish",1,2003,2003,Mid point of prediction interval,-0.1
"Meats, poultry, and fish",1,2003,2003,Upper bound of prediction interval,3.1
"Meats, poultry, and fish",2,2003,2003,Lower bound of prediction interval,-3.5
"Meats, poultry, and fish",2,2003,2003,Mid point of prediction interval,-0.9
"Meats, poultry, and fish",2,2003,2003,Upper bound of prediction interval,1.9
"Meats, poultry, and fish",3,2003,2003,Lower bound of prediction interval,0.5
"Meats, poultry, and fish",3,2003,2003,Mid point of prediction interval,2.6
"Meats, poultry, and fish",3,2003,2003,Upper bound of prediction interval,4.8
"Meats, poultry, and fish",4,2003,2003,Lower bound of prediction interval,0.5
"Meats, poultry, and fish",4,2003,2003,Mid point of prediction interval,2.2
"Meats, poultry, and fish",4,2003,2003,Upper bound of prediction interval,4
"Meats, poultry, and fish",5,2003,2003,Lower bound of prediction interval,0.5
"Meats, poultry, and fish",5,2003,2003,Mid point of prediction interval,2
"Meats, poultry, and fish",5,2003,2003,Upper bound of prediction interval,3.5
"Meats, poultry, and fish",6,2003,2003,Lower bound of prediction interval,0.5
"Meats, poultry, and fish",6,2003,2003,Mid point of prediction interval,1.7
"Meats, poultry, and fish",6,2003,2003,Upper bound of prediction interval,2.9
"Meats, poultry, and fish",7,2003,2003,Lower bound of prediction interval,1.7
"Meats, poultry, and fish",7,2003,2003,Mid point of prediction interval,2.7
"Meats, poultry, and fish",7,2003,2003,Upper bound of prediction interval,3.7
"Meats, poultry, and fish",8,2003,2003,Lower bound of prediction interval,2.2
"Meats, poultry, and fish",8,2003,2003,Mid point of prediction interval,2.9
"Meats, poultry, and fish",8,2003,2003,Upper bound of prediction interval,3.7
"Meats, poultry, and fish",9,2003,2003,Lower bound of prediction interval,2.5
"Meats, poultry, and fish",9,2003,2003,Mid point of prediction interval,3
"Meats, poultry, and fish",9,2003,2003,Upper bound of prediction interval,3.6
"Meats, poultry, and fish",10,2003,2003,Lower bound of prediction interval,2.8
"Meats, poultry, and fish",10,2003,2003,Mid point of prediction interval,3.2
"Meats, poultry, and fish",10,2003,2003,Upper bound of prediction interval,3.6
"Meats, poultry, and fish",11,2003,2003,Lower bound of prediction interval,3.4
"Meats, poultry, and fish",11,2003,2003,Mid point of prediction interval,3.6
"Meats, poultry, and fish",11,2003,2003,Upper bound of prediction interval,3.9
"Meats, poultry, and fish",12,2003,2003,Lower bound of prediction interval,3.9
"Meats, poultry, and fish",12,2003,2003,Mid point of prediction interval,4.1
"Meats, poultry, and fish",12,2003,2003,Upper bound of prediction interval,4.2
Meats,7,2002,2003,Lower bound of prediction interval,-6.7
Meats,7,2002,2003,Mid point of prediction interval,0.6
Meats,7,2002,2003,Upper bound of prediction interval,8.4
Meats,8,2002,2003,Lower bound of prediction interval,-6.9
Meats,8,2002,2003,Mid point of prediction interval,-0.2
Meats,8,2002,2003,Upper bound of prediction interval,6.9
Meats,9,2002,2003,Lower bound of prediction interval,-5.5
Meats,9,2002,2003,Mid point of prediction interval,0.8
Meats,9,2002,2003,Upper bound of prediction interval,7.3
Meats,10,2002,2003,Lower bound of prediction interval,-6
Meats,10,2002,2003,Mid point of prediction interval,-0.4
Meats,10,2002,2003,Upper bound of prediction interval,5.4
Meats,11,2002,2003,Lower bound of prediction interval,-6.3
Meats,11,2002,2003,Mid point of prediction interval,-1.2
Meats,11,2002,2003,Upper bound of prediction interval,4
Meats,12,2002,2003,Lower bound of prediction interval,-4.9
Meats,12,2002,2003,Mid point of prediction interval,-0.6
Meats,12,2002,2003,Upper bound of prediction interval,4.1
Meats,1,2003,2003,Lower bound of prediction interval,-3.6
Meats,1,2003,2003,Mid point of prediction interval,0.4
Meats,1,2003,2003,Upper bound of prediction interval,4.4
Meats,2,2003,2003,Lower bound of prediction interval,-4
Meats,2,2003,2003,Mid point of prediction interval,-0.8
Meats,2,2003,2003,Upper bound of prediction interval,2.7
Meats,3,2003,2003,Lower bound of prediction interval,0.2
Meats,3,2003,2003,Mid point of prediction interval,3.3
Meats,3,2003,2003,Upper bound of prediction interval,6.4
Meats,4,2003,2003,Lower bound of prediction interval,0.3
Meats,4,2003,2003,Mid point of prediction interval,2.8
Meats,4,2003,2003,Upper bound of prediction interval,5.5
Meats,5,2003,2003,Lower bound of prediction interval,0.6
Meats,5,2003,2003,Mid point of prediction interval,2.7
Meats,5,2003,2003,Upper bound of prediction interval,4.9
Meats,6,2003,2003,Lower bound of prediction interval,0.7
Meats,6,2003,2003,Mid point of prediction interval,2.3
Meats,6,2003,2003,Upper bound of prediction interval,4
Meats,7,2003,2003,Lower bound of prediction interval,2.4
Meats,7,2003,2003,Mid point of prediction interval,3.7
Meats,7,2003,2003,Upper bound of prediction interval,5.1
Meats,8,2003,2003,Lower bound of prediction interval,3
Meats,8,2003,2003,Mid point of prediction interval,4
Meats,8,2003,2003,Upper bound of prediction interval,5
Meats,9,2003,2003,Lower bound of prediction interval,3.4
Meats,9,2003,2003,Mid point of prediction interval,4.1
Meats,9,2003,2003,Upper bound of prediction interval,4.9
Meats,10,2003,2003,Lower bound of prediction interval,3.9
Meats,10,2003,2003,Mid point of prediction interval,4.4
Meats,10,2003,2003,Upper bound of prediction interval,4.9
Meats,11,2003,2003,Lower bound of prediction interval,4.6
Meats,11,2003,2003,Mid point of prediction interval,4.9
Meats,11,2003,2003,Upper bound of prediction interval,5.2
Meats,12,2003,2003,Lower bound of prediction interval,5.4
Meats,12,2003,2003,Mid point of prediction interval,5.5
Meats,12,2003,2003,Upper bound of prediction interval,5.7
Beef and veal,7,2002,2003,Lower bound of prediction interval,-7.4
Beef and veal,7,2002,2003,Mid point of prediction interval,-0.6
Beef and veal,7,2002,2003,Upper bound of prediction interval,7.1
Beef and veal,8,2002,2003,Lower bound of prediction interval,-6.8
Beef and veal,8,2002,2003,Mid point of prediction interval,-0.3
Beef and veal,8,2002,2003,Upper bound of prediction interval,6.7
Beef and veal,9,2002,2003,Lower bound of prediction interval,-6
Beef and veal,9,2002,2003,Mid point of prediction interval,0.2
Beef and veal,9,2002,2003,Upper bound of prediction interval,6.9
Beef and veal,10,2002,2003,Lower bound of prediction interval,-6.2
Beef and veal,10,2002,2003,Mid point of prediction interval,-0.6
Beef and veal,10,2002,2003,Upper bound of prediction interval,5.6
Beef and veal,11,2002,2003,Lower bound of prediction interval,-5.5
Beef and veal,11,2002,2003,Mid point of prediction interval,-0.3
Beef and veal,11,2002,2003,Upper bound of prediction interval,5.3
Beef and veal,12,2002,2003,Lower bound of prediction interval,-4.6
Beef and veal,12,2002,2003,Mid point of prediction interval,0.2
Beef and veal,12,2002,2003,Upper bound of prediction interval,5.3
Beef and veal,1,2003,2003,Lower bound of prediction interval,-3.1
Beef and veal,1,2003,2003,Mid point of prediction interval,0.6
Beef and veal,1,2003,2003,Upper bound of prediction interval,4.6
Beef and veal,2,2003,2003,Lower bound of prediction interval,-2.8
Beef and veal,2,2003,2003,Mid point of prediction interval,0.5
Beef and veal,2,2003,2003,Upper bound of prediction interval,4
Beef and veal,3,2003,2003,Lower bound of prediction interval,2.5
Beef and veal,3,2003,2003,Mid point of prediction interval,5.6
Beef and veal,3,2003,2003,Upper bound of prediction interval,8.9
Beef and veal,4,2003,2003,Lower bound of prediction interval,3
Beef and veal,4,2003,2003,Mid point of prediction interval,5.6
Beef and veal,4,2003,2003,Upper bound of prediction interval,8.4
Beef and veal,5,2003,2003,Lower bound of prediction interval,3.2
Beef and veal,5,2003,2003,Mid point of prediction interval,5.4
Beef and veal,5,2003,2003,Upper bound of prediction interval,7.7
Beef and veal,6,2003,2003,Lower bound of prediction interval,2.3
Beef and veal,6,2003,2003,Mid point of prediction interval,4.3
Beef and veal,6,2003,2003,Upper bound of prediction interval,6.3
Beef and veal,7,2003,2003,Lower bound of prediction interval,4.3
Beef and veal,7,2003,2003,Mid point of prediction interval,5.7
Beef and veal,7,2003,2003,Upper bound of prediction interval,7.3
Beef and veal,8,2003,2003,Lower bound of prediction interval,4.9
Beef and veal,8,2003,2003,Mid point of prediction interval,6
Beef and veal,8,2003,2003,Upper bound of prediction interval,7.2
Beef and veal,9,2003,2003,Lower bound of prediction interval,5.3
Beef and veal,9,2003,2003,Mid point of prediction interval,6.1
Beef and veal,9,2003,2003,Upper bound of prediction interval,7
Beef and veal,10,2003,2003,Lower bound of prediction interval,6.1
Beef and veal,10,2003,2003,Mid point of prediction interval,6.7
Beef and veal,10,2003,2003,Upper bound of prediction interval,7.3
Beef and veal,11,2003,2003,Lower bound of prediction interval,7.5
Beef and veal,11,2003,2003,Mid point of prediction interval,7.9
Beef and veal,11,2003,2003,Upper bound of prediction interval,8.3
Beef and veal,12,2003,2003,Lower bound of prediction interval,9.1
Beef and veal,12,2003,2003,Mid point of prediction interval,9.3
Beef and veal,12,2003,2003,Upper bound of prediction interval,9.5
Pork,7,2002,2003,Lower bound of prediction interval,-10.2
Pork,7,2002,2003,Mid point of prediction interval,-0.1
Pork,7,2002,2003,Upper bound of prediction interval,11.5
Pork,8,2002,2003,Lower bound of prediction interval,-9.7
Pork,8,2002,2003,Mid point of prediction interval,0
Pork,8,2002,2003,Upper bound of prediction interval,10.9
Pork,9,2002,2003,Lower bound of prediction interval,-8.4
Pork,9,2002,2003,Mid point of prediction interval,0.7
Pork,9,2002,2003,Upper bound of prediction interval,10.9
Pork,10,2002,2003,Lower bound of prediction interval,-9.9
Pork,10,2002,2003,Mid point of prediction interval,-1.6
Pork,10,2002,2003,Upper bound of prediction interval,7.8
Pork,11,2002,2003,Lower bound of prediction interval,-9.7
Pork,11,2002,2003,Mid point of prediction interval,-1.9
Pork,11,2002,2003,Upper bound of prediction interval,6.7
Pork,12,2002,2003,Lower bound of prediction interval,-9.4
Pork,12,2002,2003,Mid point of prediction interval,-2.3
Pork,12,2002,2003,Upper bound of prediction interval,5.5
Pork,1,2003,2003,Lower bound of prediction interval,-8.2
Pork,1,2003,2003,Mid point of prediction interval,-1.4
Pork,1,2003,2003,Upper bound of prediction interval,5.9
Pork,2,2003,2003,Lower bound of prediction interval,-6.5
Pork,2,2003,2003,Mid point of prediction interval,-0.5
Pork,2,2003,2003,Upper bound of prediction interval,5.8
Pork,3,2003,2003,Lower bound of prediction interval,-4.5
Pork,3,2003,2003,Mid point of prediction interval,0.7
Pork,3,2003,2003,Upper bound of prediction interval,6.4
Pork,4,2003,2003,Lower bound of prediction interval,-5.2
Pork,4,2003,2003,Mid point of prediction interval,-0.9
Pork,4,2003,2003,Upper bound of prediction interval,3.8
Pork,5,2003,2003,Lower bound of prediction interval,-5.4
Pork,5,2003,2003,Mid point of prediction interval,-1.7
Pork,5,2003,2003,Upper bound of prediction interval,2.1
Pork,6,2003,2003,Lower bound of prediction interval,-3.3
Pork,6,2003,2003,Mid point of prediction interval,-0.1
Pork,6,2003,2003,Upper bound of prediction interval,3
Pork,7,2003,2003,Lower bound of prediction interval,-0.8
Pork,7,2003,2003,Mid point of prediction interval,1.8
Pork,7,2003,2003,Upper bound of prediction interval,4.4
Pork,8,2003,2003,Lower bound of prediction interval,0
Pork,8,2003,2003,Mid point of prediction interval,1.9
Pork,8,2003,2003,Upper bound of prediction interval,4
Pork,9,2003,2003,Lower bound of prediction interval,0.1
Pork,9,2003,2003,Mid point of prediction interval,1.5
Pork,9,2003,2003,Upper bound of prediction interval,2.9
Pork,10,2003,2003,Lower bound of prediction interval,1.3
Pork,10,2003,2003,Mid point of prediction interval,2.2
Pork,10,2003,2003,Upper bound of prediction interval,3.2
Pork,11,2003,2003,Lower bound of prediction interval,1.6
Pork,11,2003,2003,Mid point of prediction interval,2.1
Pork,11,2003,2003,Upper bound of prediction interval,2.6
Pork,12,2003,2003,Lower bound of prediction interval,1.7
Pork,12,2003,2003,Mid point of prediction interval,1.9
Pork,12,2003,2003,Upper bound of prediction interval,2.2
Other meats,7,2002,2003,Lower bound of prediction interval,-1.5
Other meats,7,2002,2003,Mid point of prediction interval,2.1
Other meats,7,2002,2003,Upper bound of prediction interval,6
Other meats,8,2002,2003,Lower bound of prediction interval,-1.4
Other meats,8,2002,2003,Mid point of prediction interval,2.1
Other meats,8,2002,2003,Upper bound of prediction interval,5.8
Other meats,9,2002,2003,Lower bound of prediction interval,-1.2
Other meats,9,2002,2003,Mid point of prediction interval,2.1
Other meats,9,2002,2003,Upper bound of prediction interval,5.7
Other meats,10,2002,2003,Lower bound of prediction interval,-0.6
Other meats,10,2002,2003,Mid point of prediction interval,2.6
Other meats,10,2002,2003,Upper bound of prediction interval,5.9
Other meats,11,2002,2003,Lower bound of prediction interval,-0.1
Other meats,11,2002,2003,Mid point of prediction interval,2.8
Other meats,11,2002,2003,Upper bound of prediction interval,5.9
Other meats,12,2002,2003,Lower bound of prediction interval,0.2
Other meats,12,2002,2003,Mid point of prediction interval,3
Other meats,12,2002,2003,Upper bound of prediction interval,5.8
Other meats,1,2003,2003,Lower bound of prediction interval,0.7
Other meats,1,2003,2003,Mid point of prediction interval,3
Other meats,1,2003,2003,Upper bound of prediction interval,5.4
Other meats,2,2003,2003,Lower bound of prediction interval,-1.7
Other meats,2,2003,2003,Mid point of prediction interval,0.5
Other meats,2,2003,2003,Upper bound of prediction interval,2.7
Other meats,3,2003,2003,Lower bound of prediction interval,-1.1
Other meats,3,2003,2003,Mid point of prediction interval,0.8
Other meats,3,2003,2003,Upper bound of prediction interval,2.6
Other meats,4,2003,2003,Lower bound of prediction interval,-1.1
Other meats,4,2003,2003,Mid point of prediction interval,0.5
Other meats,4,2003,2003,Upper bound of prediction interval,2.2
Other meats,5,2003,2003,Lower bound of prediction interval,-0.1
Other meats,5,2003,2003,Mid point of prediction interval,1.3
Other meats,5,2003,2003,Upper bound of prediction interval,2.8
Other meats,6,2003,2003,Lower bound of prediction interval,-0.3
Other meats,6,2003,2003,Mid point of prediction interval,0.9
Other meats,6,2003,2003,Upper bound of prediction interval,2.1
Other meats,7,2003,2003,Lower bound of prediction interval,0.2
Other meats,7,2003,2003,Mid point of prediction interval,1.2
Other meats,7,2003,2003,Upper bound of prediction interval,2.2
Other meats,8,2003,2003,Lower bound of prediction interval,0.8
Other meats,8,2003,2003,Mid point of prediction interval,1.5
Other meats,8,2003,2003,Upper bound of prediction interval,2.3
Other meats,9,2003,2003,Lower bound of prediction interval,1.5
Other meats,9,2003,2003,Mid point of prediction interval,2.2
Other meats,9,2003,2003,Upper bound of prediction interval,2.8
Other meats,10,2003,2003,Lower bound of prediction interval,1.6
Other meats,10,2003,2003,Mid point of prediction interval,2.1
Other meats,10,2003,2003,Upper bound of prediction interval,2.5
Other meats,11,2003,2003,Lower bound of prediction interval,1.8
Other meats,11,2003,2003,Mid point of prediction interval,2.1
Other meats,11,2003,2003,Upper bound of prediction interval,2.5
Other meats,12,2003,2003,Lower bound of prediction interval,2.3
Other meats,12,2003,2003,Mid point of prediction interval,2.5
Other meats,12,2003,2003,Upper bound of prediction interval,2.7
Poultry,7,2002,2003,Lower bound of prediction interval,-7.2
Poultry,7,2002,2003,Mid point of prediction interval,-0.6
Poultry,7,2002,2003,Upper bound of prediction interval,6.7
Poultry,8,2002,2003,Lower bound of prediction interval,-6.4
Poultry,8,2002,2003,Mid point of prediction interval,0.1
Poultry,8,2002,2003,Upper bound of prediction interval,7.1
Poultry,9,2002,2003,Lower bound of prediction interval,-5.5
Poultry,9,2002,2003,Mid point of prediction interval,0.5
Poultry,9,2002,2003,Upper bound of prediction interval,7
Poultry,10,2002,2003,Lower bound of prediction interval,-5.4
Poultry,10,2002,2003,Mid point of prediction interval,0.4
Poultry,10,2002,2003,Upper bound of prediction interval,6.6
Poultry,11,2002,2003,Lower bound of prediction interval,-5.6
Poultry,11,2002,2003,Mid point of prediction interval,-0.2
Poultry,11,2002,2003,Upper bound of prediction interval,5.5
Poultry,12,2002,2003,Lower bound of prediction interval,-4.6
Poultry,12,2002,2003,Mid point of prediction interval,0.3
Poultry,12,2002,2003,Upper bound of prediction interval,5.7
Poultry,1,2003,2003,Lower bound of prediction interval,-2.3
Poultry,1,2003,2003,Mid point of prediction interval,1.1
Poultry,1,2003,2003,Upper bound of prediction interval,4.5
Poultry,2,2003,2003,Lower bound of prediction interval,-2.9
Poultry,2,2003,2003,Mid point of prediction interval,0.1
Poultry,2,2003,2003,Upper bound of prediction interval,3.1
Poultry,3,2003,2003,Lower bound of prediction interval,-2
Poultry,3,2003,2003,Mid point of prediction interval,0.6
Poultry,3,2003,2003,Upper bound of prediction interval,3.3
Poultry,4,2003,2003,Lower bound of prediction interval,-1.3
Poultry,4,2003,2003,Mid point of prediction interval,0.8
Poultry,4,2003,2003,Upper bound of prediction interval,3.1
Poultry,5,2003,2003,Lower bound of prediction interval,-0.9
Poultry,5,2003,2003,Mid point of prediction interval,1
Poultry,5,2003,2003,Upper bound of prediction interval,2.9
Poultry,6,2003,2003,Lower bound of prediction interval,-1.4
Poultry,6,2003,2003,Mid point of prediction interval,0.1
Poultry,6,2003,2003,Upper bound of prediction interval,1.8
Poultry,7,2003,2003,Lower bound of prediction interval,-0.9
Poultry,7,2003,2003,Mid point of prediction interval,0.4
Poultry,7,2003,2003,Upper bound of prediction interval,1.7
Poultry,8,2003,2003,Lower bound of prediction interval,-0.3
